question,label
미세먼지 많이 심하려나,O O O
알려주세요 미세먼지,O O
먼지 꼈나,O O
먼지 끼었나,O O
지금 하늘 먼지 많니,S-DATE O O O
미세먼지 알려주세요 궁금해요,O O O
맑으려나 화요일,O S-DATE
미세먼지 궁금해서,O O
미세먼지 안 심해야 하는데,O O O O
미세먼지 심하려나,O O
공기 심하겠지,O O
부천 현재 미세먼지 어때,S-LOCATION S-DATE O O
미세먼지 알려주세요,O O
화요일 맑겠지,S-DATE O
서울 다음 주 미세먼지 알려줄래요,S-LOCATION B-DATE E-DATE O O
부안 미세먼지 어떻게 돼,S-LOCATION O O O
모레 서천 미세먼지 좀 알려줄 수 있니,S-DATE S-LOCATION O O O O O
화요일 미세먼지 영덕 알려줄 수 있어,S-DATE O S-LOCATION O O O
이번 주 공기 미세먼지 상태 알려줄래,B-DATE E-DATE O O O O
구암 다음 주 미세먼지 상태 알려줘,S-LOCATION S-DATE S-DATE O O O
이번 주 영등포 미세먼지 상태 줘,S-DATE S-DATE S-LOCATION O O O
구로 다음 주 미세먼지 상태 알려줄래,S-LOCATION S-DATE S-DATE O O O
일산 미세먼지 상태 어떻게 돼요,S-LOCATION O O O O
모레 안암 미세먼지 상태 좀 알려줄 수 있니,S-DATE S-LOCATION O O O O O O
목요일 미세먼지 상태 알려줄 수 있어,S-DATE O O O O O
이번 주 홍대 미세먼지 상태 알려줄래,S-DATE S-DATE S-LOCATION O O O
남구 다음 주 미세먼지 알려줘,S-LOCATION S-DATE S-DATE O O
이번 주 보령 공기 미세먼지,S-DATE S-DATE S-LOCATION O O
하늘 미세먼지,O O
하늘 미세먼지 심하니,O O O
지금 미세먼지 상태 미세먼지,S-DATE O O O
미세먼지 어때,O O
공기 미세먼지 어때,O O O
알려줘 공기,O O
목요일 마스크 챙길까,S-DATE O O
마스크 써야하나,O O
이번 주 공기 미세먼지 어때,S-DATE S-DATE O O O
목요일 비오겠지,S-DATE O
헉 혹시 미세먼지,O O O
목요일 혹시 미세먼지,S-DATE O O
미세먼지 상태 어떻니,O O O
공기 공기,O O
목요일 미세먼지,S-DATE O
미세먼지 글쎄,O O
미세먼지 심해지려나,O O
모레 미세먼지 심하나,S-DATE O O
미세먼지 알려줘,O O
목요일 미세먼지,S-DATE O
미세먼지 어때 보여,O O O
혹시 목요일 비오나 마스크 챙길까,O S-DATE O O O
마스크 필요하니,O O
목요일 마스크 필요할까,S-DATE O O
부천 공기 미세먼지,S-LOCATION O O
마스크 챙겨야하나 모르겠네,O O O
밀양 미세먼지 안되는데,O O O
미세먼지 그 때,O O O
혹시 미세먼지 어때,O O O
그 때 혹시 미세먼지,O O O O
나 목요일 여행가는데 미세먼지 알려줘,O S-DATE O O O
그 때 혹시 미세먼지,O O O O
하늘 미세먼지,O O
황사 오려나,O O
먼지 꼈니,O O
강남 하늘 미세먼지,O O O
미세먼지 심해질까,O O
그 때 하늘 어떠려나,O O O O
하늘 미세먼지 어때 그 날,O O O O O
미세먼지 어떨 것 같아,O O O O
이번 주 맑겠지,S-DATE S-DATE O
많이 미세먼지 안될텐데,O O O
다음 주 미세먼지 알려줘,S-DATE S-DATE O O
목요일 먹미세먼지 어떨까,S-DATE O O
목요일 혹시 서대문구 미세먼지 심하려나,S-DATE O S-LOCATION O O
모레 미세먼지,S-DATE O
군산 미세먼지 심하려나,S-LOCATION O O
미세먼지 정말,O O
미세먼지 어떨지 모르겠네,O O O
금요일 미세먼지 글쎄,S-DATE O O
금요일 황사 오면 안되는데,S-DATE O O O
혹시 황사 안오겠지,O O O
의정부 미세먼지,S-LOCATION O
금요일 마스크 필요해,S-DATE O O
마스크 쓸까,O O
금요일 마스크 챙길까 말까,S-DATE O O O
미세먼지 궁금한데 알려주겠니,O O O
혹시 미세먼지 알려줘,O O O
금요일 동두천 미세먼지 궁금해요,S-DATE S-LOCATION O O
금요일 미세먼지 궁금해,S-DATE O O
먼지 많이 끼고 미세먼지,O O O O
서울 미세먼지 알려주겠니,S-LOCATION O O
부산 공기 정보 알려주세요,S-LOCATION O O O
혹시 그 때 대구 공기 미세먼지,O O O S-LOCATION O O
그 때 대전 공기 좋겠지,O O S-LOCATION O O
공기 어떨 것 같은데,O O O O
울산 공기 미세먼지,S-LOCATION O O
송파구 공기 미세먼지,S-LOCATION O O
덕진구 미세먼지 공기 말해주겠니,S-LOCATION O O O
청주 공기 미세먼지,S-LOCATION O O
모레 전주 미세먼지 알려줘,S-DATE S-LOCATION O O
공기 어떠려나,O O
그럼 구리 공기 미세먼지,O S-LOCATION O O
창원 공기 궁금해서 물어봤어요,S-LOCATION O O O
경기도 미세먼지 알려주세요,S-LOCATION O O
공기 어떠려나,O O
미세먼지 공기 어떠려나,O O O
공기 어떠려나,O O
모레 미세먼지 알려주겠니,S-DATE O O
공기 궁금해,O O
지금 공기 어떤데,S-DATE O O
저기 북구 공기 미세먼지,O S-LOCATION O O
지금 인천 공기 완전 문젠데,S-DATE S-LOCATION O O O
완주 모레 동대구 공기 궁금해,S-LOCATION S-DATE S-LOCATION O O
공기 궁금해요,O O
완산구 지금 미세먼지 심해진다네,S-LOCATION S-DATE O O
지금 공기 미세먼지,S-DATE O O
송파구 공기 좀 알려줄래,S-LOCATION O O O
미세먼지 부천 공기,O S-LOCATION O
미세먼지 좀 안산 공기,O O S-LOCATION O
금요일 근데 원주 공기 어떠려나,S-DATE O S-LOCATION O O
울산 지금 미세먼지 심하니,S-LOCATION S-DATE O O
하늘 미세먼지 심하니 지금,O O O S-DATE
광주 미세먼지 알려주세요,S-LOCATION O O
어떤데 공기,O O
미세먼지 알려줬으면 졸겠어,O O O
평창 미세먼지 알려줘,S-LOCATION O O
모레 미세먼지 어떨까나,S-DATE O O
금요일 여행갈건데 미세먼지 알려줘,S-DATE O O O
공기 궁금하네,O O
모레 미세먼지,S-DATE O
금요일 미세먼지 심할까,S-DATE O O
알려주세요 춘천 공기,O S-LOCATION O
광주 북구 공기 어떠려나,B-LOCATION E-LOCATION O O
미세먼지 알려주세요 궁금해요,O O O
그 날 미세먼지 많이 심하나,O O O O O
맑으려나 금요일,O S-DATE
미세먼지 궁금해서,O O
미세먼지 안 심해야 하는데,O O O O
무주 미세먼지 알려주세요,S-LOCATION O O
금요일 맑겠지,S-DATE O
완전 미세먼지 심하나,O O O
하늘 미세먼지,O O
하늘 미세먼지 심하니,O O O
지금 남원 미세먼지 상태 미세먼지,S-DATE S-LOCATION O O O
지금 남부 지방 많이 미세먼지,S-DATE B-LOCATION E-LOCATION O O
미세먼지 상태 미세먼지,O O O
알려줘 은평구 미세먼지,O S-LOCATION O
노원구 미세먼지 궁금하네,S-LOCATION O O
토요일 마스크 챙길까,S-DATE O O
진짜 영덕 그 때 미세먼지,O S-LOCATION O O O
임실 토요일 혹시 마스크 써야하나,S-LOCATION S-DATE O O O
이번 주 미세먼지 상태 미세먼지,S-DATE S-DATE O O O
토요일 비오겠지,S-DATE O
홍대 혹시 미세먼지,S-LOCATION O O
서울 공기,S-LOCATION O
먼지 껴서 흐린가,O O O
미세먼지 않겠지,O O
너무 미세먼지 않으려나,O O O
마스크 글쎄 챙겨야겠지,O O O
해운대 토요일 미세먼지,S-LOCATION S-DATE O
오수 미세먼지 글쎄,S-LOCATION O O
그 떄 하늘 미세먼지,O O O O
미세먼지 심해지려나,O O
미세먼지 알려줘,O O
서귀포 토요일 미세먼지,S-LOCATION S-DATE O
미세먼지 심하면 안되는데,O O O
제주 미세먼지 어때,S-LOCATION O O
미세먼지 너무 심할까 알려줘,O O O O
혹시 토요일 비오나 마스크 챙길까,O S-DATE O O O
여수 지금 마스크 필요하니,S-LOCATION S-DATE O O
순천 토요일 마스크 필요할까,S-LOCATION S-DATE O O
마스크 챙겨야하나 모르겠네,O O O
미세먼지 안되는데,O O
건대 입구 미세먼지 그 때,S-LOCATION O O O O
혹시 미세먼지 어때,O O O
그 때 혹시 미세먼지,O O O O
나 토요일 여행가는데 미세먼지 알려줘,O S-DATE O O O
그 때 혹시 미세먼지,O O O O
하늘 미세먼지,O O
지금 미세먼지 어떨까,S-DATE O O
황사 오려나,O O
이번 주 미세먼지,S-DATE S-DATE O
미세먼지 심해질까,O O
그 때 하늘 어떠려나,O O O O
하늘 미세먼지 어때 그 날,O O O O O
미세먼지 어떨 것 같아,O O O O
이번 주 맑겠지,S-DATE S-DATE O
많이 미세먼지 안될텐데,O O O
다음 주 미세먼지 알려줘,S-DATE S-DATE O O
토요일 미세먼지 상태,S-DATE O O
미세먼지 많이 어떻니,O O O
영월 미세먼지 많이 부려나,S-LOCATION O O O
토요일 혹시 미세먼지 심하려나,S-DATE O O O
모레 미세먼지,S-DATE O
미세먼지 심하려나,O O
1월 1일 미세먼지 심하나요,S-DATE S-DATE O O
2월 12일 미세먼지,S-DATE S-DATE O
3월 3일 미세먼지,S-DATE S-DATE O
4월 14일 미세먼지 심하나요,S-DATE S-DATE O O
5월 5일 추워서 미세먼지,S-DATE S-DATE O O
8일 호성동 미세먼지 알려줘,S-DATE S-LOCATION O O
6월 22일 미세먼지 심하나요,S-DATE S-DATE O O
12월 11일 미세먼지 어떠려나,S-DATE S-DATE O O
3월 2O일 미세먼지 상태 어때,S-DATE S-DATE O O O
7월 4일 황사 와,S-DATE S-DATE O O
3월 17일 전주 하늘 미세먼지,S-DATE S-DATE S-LOCATION O O
4월 12일 미세먼지 심하면 안 되겠다,S-DATE S-DATE O O O O
이번 주 월요일 미세먼지,B-DATE I-DATE E-DATE O
2월 1O일 미세먼지 맑니,S-DATE S-DATE O O
경주 이번 주 드디어 맑아,S-LOCATION S-DATE S-DATE O O
4월 11일 황사 오나요,S-DATE S-DATE O O
2월 2O일 미세먼지 상태 어때,S-DATE S-DATE O O O
8월 4일 황사 와,S-DATE S-DATE O O
1O월 16일 미세먼지 맑니,S-DATE S-DATE O O
이번 주 목요일 미세먼지,B-DATE I-DATE E-DATE O
11월 6일 청원 미세먼지 맑니,B-DATE E-DATE S-LOCATION O O
이천 이번 주 심하려나 하늘,S-LOCATION B-DATE E-DATE O O
미세먼지 어떨까,O O
토요일 오산 미세먼지 글쎄,S-DATE S-LOCATION O O
토요일 미세먼지,S-DATE O
혹시 황사 안오겠지,O O O
그 날 비와서 힘들겠지,O S-DATE O O
황사 올까,O O
약속 잡았는데 미세먼지 심하네,O O O O
토요일 진주 마스크 필요해,S-DATE S-LOCATION O O
마스크 쓸까 말해줘,O O O
울릉도 토요일 마스크 챙길까 말까,S-LOCATION S-DATE O O O
공기 궁금한데 알려주겠니,O O O
혹시 미세먼지 알려줘,O O O
인천 토요일 공기 궁금해요,S-LOCATION S-DATE O O
토요일 공기 궁금해,S-DATE O O
일요일 맑겠지,S-DATE O
이천 하늘 미세먼지,S-LOCATION O O
화순 하늘 미세먼지 심하니,S-LOCATION O O O
지금 남원 미세먼지 상태 미세먼지,S-DATE S-LOCATION O O O
지금 남부 지방 미세먼지 어때,S-DATE B-LOCATION E-LOCATION O O
공기 미세먼지 어때,O O O
노원구 공기 궁금하네,S-LOCATION O O
이따가 마스크 챙길까,S-DATE O O
이태원 마스크 써야하나,S-LOCATION O O
이번 주 공기 미세먼지 어때,B-DATE E-DATE O O O
일요일 비오겠지,S-DATE O
모레 미세먼지 알려주세요,S-DATE O O
혹시 이따 공기 좀 알려줄래요,O S-DATE O O O
일요일 미세먼지 알려주세요,S-DATE O O
저번 주 공기 말해주세요,B-DATE E-DATE O O
이번 주 공기 미세먼지 어떻니,B-DATE E-DATE O O O
공기 어떠냐,O O
지금 어떤데 공기,O O O
다음 주 광명 미세먼지 알려주세요,B-DATE E-DATE S-LOCATION O O
지금 평택 미세먼지 알려주세요,S-DATE S-LOCATION O O
이번 주 광주 공기 말해주라,B-DATE E-DATE S-LOCATION O O
일요일 부산 공기,S-DATE S-LOCATION O
일요일 대구 공기 말해,S-DATE S-LOCATION O O
이따 대전 공기 말해줘,S-DATE S-LOCATION O O
모레 공기 뭐야,S-DATE O O
일요일 부산 공기 말해주라,S-DATE S-LOCATION O O
부산 공기,S-LOCATION O
경북 일요일 공기 미세먼지,S-LOCATION S-DATE O O
익산 공기 어떨 것 같은지 말해줘,S-LOCATION O O O O O
2월 2O일 미세먼지 알려주겠니,B-DATE E-DATE O O
1월 3O일 공기 정보 알려주세요,B-DATE E-DATE O O O
6월 그 때 공기 미세먼지,S-DATE O O O O
8월 그 때 공기 좋으려나,S-DATE O O O O
호성동 공기 어떨 것 같은데,S-LOCATION O O O O
덕진동 공기 미세먼지,S-LOCATION O O
송천동 공기 말해줄래,S-LOCATION O O
나운동 공기 미세먼지,S-LOCATION O O
미룡동 먼지 많이 꼈나,S-LOCATION O O O
조촌동 공기 어떠냐,S-LOCATION O O
금천구 야 공기 미세먼지,S-LOCATION O O O
노원구 모레 미세먼지 알려줬으면,S-LOCATION S-DATE O O
5월 5일 공기 어떠려나,B-DATE E-DATE O O
4월 8일 음성 공기 어떤지 말해달라고,B-DATE E-DATE S-LOCATION O O O
1월 11일 미세먼지 궁금해서 물어봤는데,B-DATE E-DATE O O O
2월 28일 미세먼지 좀 알려주세요,B-DATE E-DATE O O O
오늘 수원 미세먼지 어떠려나,S-DATE S-LOCATION O O
고양시 미세먼지 상태 어떠려나,S-LOCATION O O O
용인 오늘 미세먼지 알려주겠니,S-LOCATION S-DATE O O
성남 미세먼지 궁금해,S-LOCATION O O
부천 현재 미세먼지 어떤데,S-LOCATION S-DATE O O
화성 미세먼지 어때,S-LOCATION O O
남양주 미세먼지 완전 문젠데,S-LOCATION O O O
세종 미세먼지 한 번 알려줘,S-LOCATION O O O O
천안 모레 미세먼지 궁금해,S-LOCATION S-DATE O O
안산 미세먼지 궁금해요,S-LOCATION O O
안양 미세먼지 심할까,S-LOCATION O O
김포 상태 미세먼지,S-LOCATION O O
평택 현재 미세먼지 어때,S-LOCATION S-DATE O O
파주 미세먼지 좀 알려줄래,S-LOCATION O O O
미세먼지 의정부 미세먼지,O O O
미세먼지 김포 미세먼지,O S-LOCATION O
일요일 근데 구미 미세먼지 어떠려나,S-DATE O S-LOCATION O O
양산 미세먼지 심하니 현재,S-LOCATION O O S-DATE
원주 하늘 미세먼지 심하니 현재,S-LOCATION O O O S-DATE
진주 미세먼지 어때 현재,S-LOCATION O O S-DATE
세종 미세먼지 알려주세요,S-LOCATION O O
아 광명 미세먼지 심하네,O S-LOCATION O O
어떤데 아산 미세먼지,O S-LOCATION O
익산 미세먼지 알려줬으면 졸겠어,S-LOCATION O O O
춘천 현재 미세먼지 어떨까나,S-LOCATION S-DATE O O
경산 하늘 먼지 많네,S-LOCATION O O O
일요일 군포 여행갈건데 미세먼지 알려줘,S-DATE O O O O
하남 미세먼지 궁금하네,S-LOCATION O O
오늘 여수 미세먼지,S-DATE S-LOCATION O
일요일 경주 미세먼지 심할까,S-DATE S-LOCATION O O
거제도 미세먼지 많이 심하려나,S-LOCATION O O O
목포 알려주세요 미세먼지,S-LOCATION O O
이천 먼지 꼈나,S-LOCATION O O
강릉 먼지 끼었나,S-LOCATION O O
양주 현재 하늘 먼지 많니,S-LOCATION S-DATE O O O
충주 미세먼지 알려주세요 맑나요,S-LOCATION O O O
안성 맑으려나 일요일,S-LOCATION O S-DATE
서산 미세먼지 궁금해서,S-LOCATION O O
구리 월요일 미세먼지 안 심해야 하는데,S-LOCATION S-DATE O O O O
서귀포 미세먼지 알려주세요,S-LOCATION O O
당진 월요일 맑겠지,S-LOCATION S-DATE O
안동 다음 주 미세먼지 알려줄래요,S-LOCATION B-DATE E-DATE O O
포천 미세먼지 어떻게 돼,S-LOCATION O O O
오늘 의왕 미세먼지 좀 알려줄 수 있니,S-DATE S-LOCATION O O O O O
월요일 미세먼지 광양 알려줄 수 있어,S-DATE O S-LOCATION O O O
이번 주 제천 미세먼지 알려줄래,B-DATE E-DATE S-LOCATION O O
논산 다음 주 미세먼지 알려줘,S-LOCATION B-DATE E-DATE O O
이번 주 칠곡 미세먼지 줘,B-DATE E-DATE S-LOCATION O O
여주 다음 주 미세먼지 알려줄래,S-LOCATION B-DATE E-DATE O O
정읍 미세먼지 어떻게 돼요,S-LOCATION O O O
오늘 음성군 미세먼지 좀 알려줄 수 있니,S-DATE S-LOCATION O O O O O
이번 주 공주 미세먼지 알려줄래,B-DATE E-DATE S-LOCATION O O
완주 다음 주 미세먼지 알려줘,S-LOCATION B-DATE E-DATE O O
이번 주 상주 미세먼지 줘,B-DATE E-DATE S-LOCATION O O
영천 월요일 하늘 미세먼지,S-LOCATION S-DATE O O
동두천 오늘 미세먼지 심하니,S-LOCATION S-DATE O O
김제 현재 미세먼지 상태 미세먼지,S-LOCATION S-DATE O O O
무안 미세먼지 어때,S-LOCATION O O
진천 미세먼지 상태 미세먼지,S-LOCATION O O O
예산군 미세먼지 알려줘,S-LOCATION O O
문경 월요일 마스크 챙길까,S-LOCATION S-DATE O O
속초 모레 마스크 써야하나,S-LOCATION S-DATE O O
이번 주 삼척 미세먼지 상태 미세먼지,B-DATE E-DATE S-LOCATION O O O
홍천 월요일 비오겠지,S-LOCATION S-DATE O
해남 혹시 미세먼지,S-LOCATION O O
창녕 미세먼지 심할까,S-LOCATION O O
월요일 태안 미세먼지,S-DATE S-LOCATION O
고흥 미세먼지 글쎄,S-LOCATION O O
화순 미세먼지 심해지려나,S-LOCATION O O
거창 월요일 미세먼지 심하나,S-LOCATION S-DATE O O
가평 미세먼지 알려줘,S-LOCATION O O
월요일 고창 미세먼지,S-DATE S-LOCATION O
서천 미세먼지,S-LOCATION O
혹시 월요일 금산 비오나 마스크 챙길까,O S-DATE S-LOCATION O O O
부안 월요일 마스크 필요하니,S-LOCATION S-DATE O O
월요일 옥천 마스크 필요할까,S-DATE S-LOCATION O O
영광 마스크 챙겨야하나 모르겠네,S-LOCATION O O O
울진 미세먼지 안되는데,S-LOCATION O O
완도 미세먼지 그 때,S-LOCATION O O O
혹시 담양 이번 주 미세먼지 어때,O S-LOCATION B-DATE E-DATE O O
그 때 횡성 혹시 미세먼지,O O S-LOCATION O O
나 월요일 계룡 여행가는데 미세먼지 알려줘,O S-DATE S-LOCATION O O O
그 때 혹시 미세먼지,O O O O
장성 하늘 미세먼지,S-LOCATION O O
청도 이따가 황사 오려나,S-LOCATION S-DATE O O
괴산 먼지 꼈니,S-LOCATION O O
강남 하늘 미세먼지,S-LOCATION O O
함양 월요일 미세먼지 심하나,S-LOCATION S-DATE O O
그 때 하늘 어떠려나,O O O O
증평 하늘 미세먼지 어때 그 날,S-LOCATION O O O O S-DATE
영월 미세먼지 어떨 것 같아,S-LOCATION O O O O
이번 주 장흥 맑겠지,B-DATE E-DATE S-LOCATION O
영덕 많이 미세먼지 안될텐데,S-LOCATION O O O
다음 주 정선 미세먼지 알려줘,B-DATE E-DATE S-LOCATION O O
월요일 강진 미세먼지 심할까,S-DATE S-LOCATION O O
월요일 혹시 보은 미세먼지 심하려나,S-DATE O S-LOCATION O O
월요일 인제 미세먼지,S-DATE S-LOCATION O
진도 미세먼지 심하려나,S-LOCATION O O
군산 미세먼지 심할까 정말,S-LOCATION O O O
곡성 미세먼지,S-LOCATION O
월요일 단양 황사 오겠지 글쎄,S-DATE S-LOCATION O O O
월요일 순창 황사 오면 안되는데,S-DATE S-LOCATION O O O
혹시 의령 황사 안오겠지,O S-LOCATION O O
양양 의정부 미세먼지,B-LOCATION E-LOCATION O
월요일 화천 마스크 필요해,S-DATE S-LOCATION O O
청송 마스크 쓸까,S-LOCATION O O
월요일 구례 마스크 챙길까 말까,S-DATE S-LOCATION O O O
무주 미세먼지 궁금한데 알려주겠니,S-LOCATION O O O
진안 혹시 미세먼지 알려줘,S-LOCATION O O O
월요일 양구 미세먼지 맑나요,S-DATE S-LOCATION O O
월요일 군위 미세먼지 궁금해,S-DATE S-LOCATION O O
장수 먼지 많이 끼고 미세먼지,S-LOCATION O O O O
영양 미세먼지 알려주겠니,S-LOCATION O O
울릉 미세먼지 정보 알려주세요,S-LOCATION O O O
혹시 그 때 종로구 미세먼지 심할까,O O O S-LOCATION O O
혹시 미세먼지 어때,O O O
그 때 관악구 미세먼지 좋겠지,O O S-LOCATION O O
서초구 미세먼지 어떨 것 같은데,S-LOCATION O O O O
강동구 미세먼지 심할까요,S-LOCATION O O
도봉구 미세먼지 어때요,S-LOCATION O O
중랑구 미세먼지 상태 말해주겠니,S-LOCATION O O O
청주 미세먼지 어떠니,S-LOCATION O O
월요일 용산구 미세먼지 알려줘,S-DATE S-LOCATION O O
마포구 미세먼지 심할까,S-LOCATION O O
그럼 강남 미세먼지 심할까,O S-LOCATION O O
강동 미세먼지 어떤지 좀 말해줘,S-LOCATION O O O O
동작구 미세먼지 궁금해서 물어봤어요,S-LOCATION O O O
경상도 미세먼지 알려주세요,S-LOCATION O O
경남 미세먼지 어떠려나,S-LOCATION O O
전북 미세먼지 상태 어떠려나,S-LOCATION O O O
전남 미세먼지 어떠려나,S-LOCATION O O
월요일 전북 미세먼지 알려주겠니,S-DATE S-LOCATION O O
영등포 미세먼지 궁금해,S-LOCATION O O
현재 양천구 미세먼지 어떤데,S-DATE S-LOCATION O O
저기 마포구 미세먼지 어때,O S-LOCATION O O
현재 성북구 미세먼지 완전 문젠데,S-DATE S-LOCATION O O O
중랑구 미세먼지 궁금해,S-LOCATION O O
용산구 미세먼지 맑나요,S-LOCATION O O
종로구 현재 미세먼지 심해진다네,S-LOCATION S-DATE O O
현재 미세먼지 어때,S-DATE O O
송파구 미세먼지 좀 알려줄래,S-LOCATION O O O
미세먼지 마포구 미세먼지,O S-LOCATION O
상당구 미세먼지 궁금해,S-LOCATION O O
중구 미세먼지 알려줘,S-LOCATION O O
가평군 미세먼지 심할까,S-LOCATION O O
고양시 덕양구 미세먼지 알려줘,B-LOCATION E-LOCATION O O
광명시 미세먼지 궁금해,S-LOCATION O O
구리시 미세먼지 어때,S-LOCATION O O
군포시 미세먼지 어때,S-LOCATION O O
화성시 미세먼지 심할까,S-LOCATION O O
하남시 미세먼지 궁금해서 물어볼게,S-LOCATION O O O
이천시 미세먼지 어때,S-LOCATION O O
연천군 미세먼지 심할까,S-LOCATION O O
화요일 마포구 미세먼지 알려줘,S-DATE S-LOCATION O O
화요일 합정동 미세먼지 알려줘,S-DATE S-LOCATION O O
안성시 미세먼지 어때,S-LOCATION O O
양주시 미세먼지 궁금해,S-LOCATION O O
동두천시 미세먼지 알려줘,S-LOCATION O O
수원시 팔달구 미세먼지 심할까,B-LOCATION E-LOCATION O O
화요일 안성시 미세먼지 알려줘,S-DATE S-LOCATION O O
부산 강서구 미세먼지 알려줘,B-LOCATION E-LOCATION O O
금정구 미세먼지 어때,S-LOCATION O O
월요일 동래구 미세먼지 알려줘,S-DATE S-LOCATION O O
화요일 북구 미세먼지 어때,S-DATE S-LOCATION O O
해운대구 미세먼지 어떠려나,S-LOCATION O O
사하구 미세먼지 알려줘,S-LOCATION O O
미추홀구 미세먼지 알려줘,S-LOCATION O O
연수구 미세먼지 뭐야,S-LOCATION O O
인천 서구 미세먼지 알려줘,B-LOCATION E-LOCATION O O
월요일 부평구 미세먼지 어때,S-DATE S-LOCATION O O
계양구 미세먼지 알려줘,S-LOCATION O O
울산 북구 미세먼지 어때,B-LOCATION E-LOCATION O O
강릉시 미세먼지 알려줘,S-LOCATION O O
속초시 미세먼지 어때,S-LOCATION O O
화요일 서초구 미세먼지 어때,S-DATE S-LOCATION O O
영월군 미세먼지 맑나요,S-LOCATION O O
원주 미세먼지 맑나요,S-LOCATION O O
홍천군 미세먼지 궁금해,S-LOCATION O O
화천군 미세먼지 물어볼게,S-LOCATION O O
화요일 제천시 미세먼지 알려줘,S-DATE S-LOCATION O O
증평 미세먼지 알려줘,S-LOCATION O O
진천군 미세먼지 궁금해,S-LOCATION O O
청주시 흥덕구 미세먼지 알려줘,B-LOCATION E-LOCATION O O
계룡 미세먼지 알려줘 월요일,S-LOCATION O O S-DATE
논산시 미세먼지 알려줘,S-LOCATION O O
태안군 미세먼지 알려줘,S-LOCATION O O
봉화 미세먼지 알려줘,S-LOCATION O O
구미시 미세먼지 어때,S-LOCATION O O
화요일 영천시 미세먼지 알려줘,S-DATE S-LOCATION O O
화요일 울진군 미세먼지 알려줘,S-DATE S-LOCATION O O
오늘 의성군 미세먼지 궁금해,S-DATE S-LOCATION O O
거제시 미세먼지 어때,S-LOCATION O O
고성군 미세먼지 어때,S-LOCATION O O
창녕군 미세먼지 알려줘,S-LOCATION O O
수요일 함안군 미세먼지 어때,S-DATE S-LOCATION O O
합천군 미세먼지 알려줘,S-LOCATION O O
제주시 미세먼지 알려줘,S-LOCATION O O
수요일 영덕 근처 미세먼지 어때,S-DATE S-LOCATION O O O
오늘 경주 근처 미세먼지 어때,S-DATE S-LOCATION O O O
오늘 밀양 근처 미세먼지 어때,S-DATE S-LOCATION O O O
수요일 을왕리 미세먼지 어때,S-DATE S-LOCATION O O
수요일 통영 가는데 미세먼지 알려줘,S-DATE S-LOCATION O O O
해운대 가는데 미세먼지 어때,S-LOCATION O O O
곡성 가려는데 미세먼지 어때,S-LOCATION O O O
구례 가려는데 미세먼지 어때,S-LOCATION O O O
전남 여수 가려는데 미세먼지 궁금해,B-LOCATION E-LOCATION O O O
고흥 가려는데 미세먼지 어떠니,S-LOCATION O O O
진도 가는데 미세먼지 알려줄래,S-LOCATION O O O
해남 가려는데 미세먼지 어때,S-LOCATION O O O
강진 가려는데 미세먼지 궁금해,S-LOCATION O O O
서울 가려는데 미세먼지 궁금해,S-LOCATION O O O
대구 가는데 미세먼지 어떠니,S-LOCATION O O O
장흥 가는데 미세먼지 궁금해,S-LOCATION O O O
영암 가는데 미세먼지 궁금해,S-LOCATION O O O
신안 가는데 미세먼지 궁금해,S-LOCATION O O O
영광 가는데 미세먼지 알려줘,S-LOCATION O O O
완주 가는데 미세먼지 어때,S-LOCATION O O O
여의도 가는데 오늘 미세먼지 어때,S-LOCATION O S-DATE O O
수요일 부안 가는데 미세먼지 궁금해,S-DATE S-LOCATION O O O
김제 여행 가는데 미세먼지 알려줘,S-LOCATION O O O O
가락동 여행 가는데 미세먼지 알려줘,S-LOCATION O O O O
익산 여행 가는데 미세먼지 알려줘,S-LOCATION O O O O
신수동 여행 가는데 미세먼지 알려줄래,S-LOCATION O O O O
개봉동 여행 가는데 미세먼지 맑나요,S-LOCATION O O O O
삼성동 여행 가는데 미세먼지 궁금해,S-LOCATION O O O O
수요일 논현동 가려는데 미세먼지좀 알려줘,S-DATE S-LOCATION O O O
수요일 상암동 가려는데 미세먼지 어때,S-DATE S-LOCATION O O O
방배동 가려는데 오늘 미세먼지 알려줘,S-LOCATION O S-DATE O O
수요일 군산 가려는데 미세먼지 알려줘,S-DATE S-LOCATION O O O
울릉도 가려는데 수요일 미세먼지 알려줘,S-LOCATION O S-DATE O O
독도 가려는데 수요일 미세먼지 궁금해,S-LOCATION O S-DATE O O
서천 가려는데 수요일 미세먼지 어때,S-LOCATION O S-DATE O O
ㅎㅎ 강화도 가려는데 오늘 미세먼지 맑나요,O S-LOCATION O S-DATE O O
안면도 가려는데 ㅋㅋ 오늘 미세먼지 알려줄래,S-LOCATION O O S-DATE O O
백령도 가려는데 수요일 미세먼지 알려주세요,S-LOCATION O S-DATE O O
흑산도 가려는데 오늘 미세먼지 어때,S-LOCATION O S-DATE O O
태안 가려는데 오늘 미세먼지 어때요,S-LOCATION O S-DATE O O
나 월요일 오산 가는데 미세먼지 궁금해,O S-DATE S-LOCATION O O O
그럼 화성 가는데 수요일 미세먼지 알려줘,O S-LOCATION O S-DATE O O
안산 가려는데 수요일 미세먼지 맑나요,S-LOCATION O S-DATE O O
수요일 안양 미세먼지 알려줘,S-DATE S-LOCATION O O
마지막 오늘 경기 광주 미세먼지 알려줘,O S-DATE B-LOCATION E-LOCATION O O
